visibility,windBearing,temperature,dewPoint,pressure,apparentTemperature,windSpeed,humidity,WA
0.943328550932568,0.5905292479108635,0.9484103179364128,1.0,0.3842261904761916,0.9770605494798612,0.43560606060606055,0.5333333333333333,0.7924398397263135
0.943328550932568,0.5738161559888579,0.9373125374925017,0.991858407079646,0.38869047619047664,0.9642571352360628,0.42196969696969694,0.5333333333333333,0.7840935135267209
0.917503586800574,0.637883008356546,1.0,0.911150442477876,0.5574404761904773,1.0,0.20606060606060606,0.3333333333333333,0.7782557113568666
0.8809182209469153,0.6545961002785515,0.979004199160168,0.9221238938053096,0.560863095238095,0.9855961589757268,0.21969696969696967,0.37333333333333335,0.774574033839114
0.9110473457675752,0.5069637883008357,0.9367126574685064,0.9996460176991152,0.3869047619047623,0.9650573486263004,0.378030303030303,0.5466666666666667,0.770997459991079
0.943328550932568,0.5849582172701949,0.9373125374925017,0.9207079646017698,0.38199404761904737,0.950920245398773,0.4825757575757576,0.4266666666666666,0.76857472035636
0.8938307030129125,0.6657381615598886,0.9487102579484104,0.9012389380530974,0.5629464285714297,0.9562550013336891,0.2545454545454545,0.3866666666666667,0.7671754949652266
0.8766140602582496,0.5571030640668524,0.9907018596280746,0.9359292035398228,0.5616071428571435,0.9989330488130168,0.175,0.37333333333333335,0.7653902404165741
0.9017216642754662,0.4958217270194986,0.9424115176964608,0.985132743362832,0.39047619047619103,0.9677247265937584,0.35,0.52,0.7645947479372543
0.9031563845050216,0.6852367688022284,0.9112177564487104,0.9306194690265488,0.5708333333333341,0.911176313683649,0.21287878787878786,0.48,0.7643448664811849
0.8809182209469153,0.5598885793871866,0.9640071985602879,0.9557522123893806,0.5563988095238099,0.9810616164310484,0.0962121212121212,0.44,0.7605743992079883
0.8923959827833573,0.7771587743732591,0.8704259148170367,0.8952212389380529,0.5815476190476202,0.8719658575620164,0.19848484848484846,0.5066666666666667,0.7578311116294553
0.9440459110473456,0.5905292479108635,0.8890221955608879,0.8580530973451327,0.564583333333333,0.8861029607895438,0.5030303030303029,0.4133333333333334,0.7522425864315022
