val1,val2,center
0.4217811836921628,0.2446775736782121,2
0.5091525956059293,0.2292037404107061,7
0.5782756155384893,0.23459945839817334,7
0.6078080531486024,0.23129799087397906,6
0.6641808154869621,0.23942982319143422,6
0.6348800036540819,0.2292371244624036,6
0.6610245061847148,0.23282760827772125,6
0.6864092382245746,0.2194137343302959,6
0.6564074509098776,0.2206225202091103,6
0.6587519687144411,0.2234208270919079,6
0.6641174283818273,0.23074583342174343,6
0.6156403187499648,0.23758296433625262,6
0.6076065374140753,0.24091283460685098,6
0.5649298587472087,0.2849582282716012,7
0.4855566165072859,0.2800079309815411,7
0.4902373517747253,0.26299900158149175,7
0.47701576151565495,0.26417756612267596,7
0.4769619293206702,0.25758383977829585,2
0.44762477522880484,0.2674921634504951,2
0.42503477827692804,0.2600454809426152,2
0.36928095903014446,0.25943247739420244,2
0.3264652525766962,0.2541014623275922,2
0.35382282917024127,0.2800003423188134,2
0.3934036026827667,0.2813697648008206,2
0.1329542164189259,-0.34855410875434967,0
0.13548549504527294,-0.3652953294816152,0
0.09896110228609398,-0.3752019647650545,0
0.06195857574416615,-0.3477784791911479,0
0.06778307673801896,-0.32097263890827143,0
0.0875388177402584,-0.2837107420697694,0
0.07043181962004913,-0.23724353245678437,0
0.0780949534222852,-0.24642627122640257,0
0.08554648376842065,-0.1959444836842095,9
0.04931687144651081,-0.17437233162029148,9
0.02495094537450298,-0.15082448108365812,9
-0.025406777247130245,-0.11937656663382452,9
0.002966016878221931,-0.1038270362893669,9
-0.09121164554745673,-0.10264429443061897,3
-0.07615222277121941,-0.10253275976462303,3
-0.06259449456451142,-0.09712201863440921,3
0.016102273824470572,-0.09054911502489642,9
0.04993503453288476,-0.07910030296096283,9
0.09773514238198766,-0.0493769074722716,9
0.15356796720067184,-0.013125698920162757,9
0.16997790114456957,-0.02248169783002764,9
0.05311633072427224,-0.11961903606578445,9
-0.03205245713865092,-0.17269363515475533,0
-0.06359816903660369,-0.20763831939724786,0
-0.24473151726974848,-0.11416377175449524,3
-0.21085056120415233,-0.1082956344989354,3
-0.21472782985306008,-0.10326259927144724,3
-0.24809626456203365,-0.12417179431539244,3
-0.22067273249640204,-0.12219918031793883,3
-0.21710891524226428,-0.12162622056647304,3
-0.2015559628734099,-0.1086543293192068,3
-0.1417295554304425,-0.14088505241932608,3
-0.12668336161702923,-0.1369822466257791,3
-0.1315588322677071,-0.09437193068911486,3
-0.130424160948018,-0.08377225818370702,3
-0.13748543756140078,-0.09150068086693469,3
-0.1399511813273185,-0.08135867610920948,3
-0.13942456759498917,-0.08390330805590154,3
-0.14544731675960865,-0.07687958979979063,3
-0.1082853382559468,-0.054019254760082194,3
-0.09657771156110642,-0.0502750317640447,3
-0.126819424349605,-0.06295356915732818,3
-0.058617324223503964,-0.08031025041122952,9
-0.0673906583481096,-0.08678656811807174,3
-0.1049825149862795,-0.12193545450441264,3
-0.047085893875278936,-0.12091087517646401,9
-0.009718253630442465,-0.1334464029346658,9
0.022989985300565598,-0.11803715804770752,9
-0.05294596779039531,-0.2534475285545362,0
0.08991830618838051,-0.2604617637661081,0
0.12814160536607827,-0.2796225761317132,9
0.13740659868335842,-0.3015327419952049,0
0.1182618072483525,-0.3327700835070352,0
0.10998911043286166,-0.34543332749508604,0
